folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas,ingreso_hogar,educacion_jefe,edad_jefe,sexo_jefe,prob_workers_0,prob_workers_1,prob_workers_2,prob_workers_3,prob_workers_4_mas,prob_bathrooms_0,prob_bathrooms_1,prob_bathrooms_2_mas,prob_rooms_1,prob_rooms_2,prob_rooms_3,prob_rooms_4_mas,modelo_puntos_14_anos_trabajo_mes,modelo_puntos_banos_completos,modelo_puntos_cuartos_dormir
715,2023-01-24 00:00:00+00:00,Guadalajara,1403900010666,70B,Falta de estacionamiento,El tiempo de duración de viaje,5,Rentada,"$7,001 y $10,000",1,0,0,,Cónyuge,Sí,Sí,202,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$7,001 y $10,000",59.0,49,Mujeres,0.04743500583376868,0.36384770146409473,0.4639478700086408,0.08991648082226676,0.034852941871228484,0.025271924219092565,0.7983999801540684,0.176328095626839,0.09847342919077795,0.5238117652206029,0.3207443187024647,0.05697048688615434,26.102287064198496,27.449020018159075,18.689694906271964
716,2023-01-24 00:00:00+00:00,Guadalajara,1403900010666,70B,Congestionamiento,Conducción del/ de la chofer,3,Rentada,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,202,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0,"$7,001 y $10,000",27.0,25,Hombres,0.014350598251982559,0.6690294110976326,0.2899349570004063,0.025790583491575623,0.0008944501584031457,0.17297010769985907,0.7871736471830562,0.039856245117084715,0.5794259368608202,0.34568003266915354,0.062270270142252254,0.012623760327774068,20.264353133752152,20.76541105289633,12.064734831495842
717,2023-01-24 00:00:00+00:00,Guadalajara,1403900010666,70B,Falta de cruces peatonales,Trato del/de la chofer,2,Propia,"$15,001 y $25,000",1,0,0,"En la calle, pero no frente a mi casa",Jefe del hogar,Sí,No,202,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,"$15,001 y $25,000",27.0,56,Hombres,0.1134265346496842,0.461825551186805,0.41617386351226054,0.007082923396688587,0.0014911272545622216,0.03267354469132346,0.6873934068078248,0.27993304850085177,0.21647662995658246,0.5342772544165015,0.2020752215810897,0.047170894045826174,20.24554627545812,29.654295042927828,16.639523037729276
718,2023-01-24 00:00:00+00:00,Guadalajara,1403900010666,70B,Congestionamiento,Poca frecuencia de paso en el día,6,Propia,"Más de $25,001",0,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,202,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0,"Más de $25,001",27.0,36,Hombres,0.003324984604735729,0.18469026527898003,0.4308058054104868,0.23323169042098535,0.1479472542848126,0.16479803301378898,0.6142267125883254,0.22097525439788565,0.08089412168400932,0.39506024466796363,0.3458733995369608,0.17817223411106628,35.87877421764868,25.127278058820437,20.970589968600674
719,2023-01-24 00:00:00+00:00,Guadalajara,1403900010666,70B,Pavimento deteriorado,La falta de comodidad de las unidades del transporte,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,No,202,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0,"$3,001 y $7,000",18.0,76,Mujeres,0.728054921245533,0.2628317288092521,0.007058575412597783,0.0016429330120434494,0.00041184152057347894,0.37020660449788323,0.5522753148913638,0.07751808061075288,0.6812784159141599,0.22568360992942704,0.06627482420034922,0.026763149956063728,4.261989021238294,16.897957346098117,11.508181665586532
720,2023-01-24 00:00:00+00:00,Guadalajara,1403900011147,70B,Insuficiente transporte público,La distancia a las paradas,4,Prestada,No quiso responder,1,0,0,,,Sí,No,202,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,,27.0,32,Hombres,0.014851718159199296,0.4822131946450715,0.4487695938165841,0.04306806485818527,0.01109742852095991,0.09346911585248693,0.7442884823899261,0.16224240175758706,0.24067407289288684,0.5472687169285074,0.18453787527260176,0.02751933490600396,23.803129451245255,25.488316459964814,15.991219777533782
721,2023-01-24 00:00:00+00:00,Guadalajara,1403900011147,70B,Congestionamiento,El costo del viaje,3,Rentada,No quiso responder,1,0,0,,,Sí,No,202,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22,,11.0,76,Hombres,0.12122910388584475,0.41052456365305284,0.3478327677484312,0.11407430215869813,0.00633926255397297,0.023256641646462507,0.7379952128961556,0.23874814545738207,0.08124022133274206,0.5692031308108055,0.3120955068986788,0.03746114095777356,22.574797170089624,28.93304794600469,18.44622053985187
722,2023-01-24 00:00:00+00:00,Guadalajara,1403900011147,70B,Congestionamiento,El costo del viaje,3,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,Sí,202,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0,"$3,001 y $7,000",11.0,76,Hombres,0.21209630553403866,0.39655161003459244,0.2668202563657589,0.11932713046264885,0.005204697602960619,0.6260315102965186,0.3363058330928677,0.037662656610613625,0.25117731222711864,0.5550617253007127,0.15805927001215578,0.03570169246001293,20.02623665291986,9.841484854927666,15.826282741640505
723,2023-01-24 00:00:00+00:00,Guadalajara,1403900011147,70B,Congestionamiento,Falta de información de rutas,3,Otros,No quiso responder,0,0,0,,,No,No,202,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0,,18.0,78,Hombres,0.1534647651652518,0.436888920284152,0.29757176690197923,0.10764756026690045,0.004426987381716765,0.2184004062795988,0.6517111411860526,0.12988845253434872,0.2022174980737109,0.5464436206342811,0.19477896987297647,0.0565599114190316,20.99989258078578,21.74582465757965,16.84545035709863
724,2023-01-24 00:00:00+00:00,Guadalajara,1403900011147,70B,Congestionamiento,Falta de información de rutas,4,Propia,"$7,001 y $10,000",0,0,0,En la cochera de la casa,Cónyuge,Sí,No,202,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0,"$7,001 y $10,000",18.0,49,Hombres,0.020712070696590628,0.4882263485061132,0.29361021920666225,0.1748260398116348,0.022625321778999025,0.3896411841433862,0.5368712320133767,0.07348758384323713,0.12477913627674471,0.5473311810252971,0.2770489239909595,0.050840758706998765,25.84745448285237,16.338826008953188,18.0316104410257
