folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas
3061,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800140027,30,Congestionamiento,Poca frecuencia de paso en el día,3,Propia,"$3,001 y $7,000",0,0,1,,Cónyuge,No,Sí,104,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
3062,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320284,30,Pavimento deteriorado,El tiempo de duración de viaje,4,Rentada,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,104,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22
3063,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800140027,30,Tiempos excesivos de traslado,Poca frecuencia de paso en el día,1,Propia,"$3,001 y $7,000",0,1,0,,Jefe del hogar,Sí,Sí,104,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
3064,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800140027,30,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Propia,"$3,001 y $7,000",1,0,1,En la cochera de la casa,Cónyuge,Sí,No,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
3065,2023-02-10 00:00:00+00:00,Tlajomulco,1409705603467,30,Insuficiente transporte público,El tiempo de duración de viaje,5,Propia,"$7,001 y $10,000",1,1,0,"En la calle, afuera de la casa",Hijo,Sí,Sí,104,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
3066,2023-02-10 00:00:00+00:00,Tlajomulco,1409705603467,30,Insuficiente transporte público,Poca frecuencia de paso en el día,7,Rentada,"$3,001 y $7,000",0,0,1,,Cónyuge,Sí,Sí,104,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,0
3067,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800141129,30,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Propia,"$3,001 y $7,000",0,0,0,,Otro parentesco,No,Sí,104,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3068,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800141129,30,Congestionamiento,El sobrecupo de personas en las unidades del transporte,5,Propia,"$3,001 y $7,000",0,0,0,,Nieto,No,No,104,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
3069,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800141129,30,Insuficiente transporte público,Poca frecuencia de paso en la noche,5,Propia,"$3,001 y $7,000",1,0,0,,Jefe del hogar,No,No,104,No estudió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22
3070,2023-02-11 00:00:00+00:00,Tlaquepaque,1409800141129,30,Tiempos excesivos de traslado,Falta de cubiertas para espera en las paradas,5,Rentada,"$10,001 y $15,000",1,0,0,"En la calle, afuera de la casa",Cónyuge,Sí,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
3071,2023-02-11 00:00:00+00:00,Tlajomulco,1409708374200,38,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,4,Propia,"$10,001 y $15,000",0,0,0,,Cónyuge,No,No,242,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
3072,2023-02-11 00:00:00+00:00,Guadalajara,1403900010149,70B,Vialidades insuficientes,Trato del/de la chofer,3,Propia,"Más de $25,001",2,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,Sí,202,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43
3073,2023-02-11 00:00:00+00:00,Tlajomulco,1409708223077,38,Congestionamiento,El tiempo de duración de viaje,2,Rentada,No quiso responder,0,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,242,,0.0067112512537599,0.0633185337657427,0.3052313889395198,0.0687532830128638,0.4524427758387888,0.0980628812259695,0.0054798859633552,,26.239449628495095,32,0
3074,2023-02-11 00:00:00+00:00,Tlajomulco,1409708374200,38,Congestionamiento,El sobrecupo de personas en las unidades del transporte,4,Rentada,No quiso responder,0,1,0,,Cónyuge,Sí,No,242,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,0
3075,2023-02-11 00:00:00+00:00,Tlajomulco,1409708374200,38,Congestionamiento,El sobrecupo de personas en las unidades del transporte,4,Propia,"$7,001 y $10,000",0,0,1,,Cónyuge,No,No,242,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,0,0
3076,2023-02-11 00:00:00+00:00,Tlajomulco,1409708223077,38,Congestionamiento,El tiempo de duración de viaje,1,Rentada,No quiso responder,0,0,0,,Jefe del hogar,No,No,242,,0.0069930218433243,0.0776761940808384,0.3372709243078257,0.0519868383638109,0.4299262103470419,0.0906400305480224,0.005506780509136,,25.54485787977777,0,0
3077,2023-02-11 00:00:00+00:00,Tlajomulco,1409708222168,38,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$7,001 y $10,000",0,0,0,,Hijo,Sí,Sí,242,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
3078,2023-02-11 00:00:00+00:00,Tlajomulco,1409708223077,38,Vialidades insuficientes,Poca frecuencia de paso en el día,4,Rentada,"$10,001 y $15,000",1,1,0,En la cochera de la casa,Jefe del hogar,Sí,Sí,242,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22
3080,2023-02-11 00:00:00+00:00,Tlajomulco,1409708223077,38,Falta de señalamientos,El tiempo de duración de viaje,2,Hipotecada,No quiso responder,1,0,0,En la cochera de la casa,Cónyuge,No,No,242,,0.0070628625072265,0.0793096998693665,0.2933047233646943,0.0591796484782732,0.2230887819060941,0.3218347894640514,0.0162194944102938,,33.90333034884636,0,22
3081,2023-02-11 00:00:00+00:00,Tlajomulco,1409708223077,38,Congestionamiento,El sobrecupo de personas en las unidades del transporte,2,Hipotecada,No quiso responder,1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,242,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
