municipio,nombre_municipio,localidad,nombre_localidad,ageb,ab_num_viviendas,ab_probability,c_mas_num_viviendas,c_mas_probability,c_num_viviendas,c_probability,c_menos_num_viviendas,c_menos_probability,d_mas_num_viviendas,d_mas_probability,d_num_viviendas,d_probability,e_num_viviendas,e_probability,nivel_predominante,num_viviendas,tamano_localidad,clave_ageb
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,194A,6,0.0053475935828877,43,0.03832442067736185,135,0.12032085561497326,237,0.21122994652406418,278,0.24777183600713013,396,0.35294117647058826,27,0.02406417112299465,D,1122,"100,000 a 249,999",140970822194A
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,1954,9,0.008555133079847909,30,0.028517110266159697,125,0.1188212927756654,171,0.16254752851711027,242,0.2300380228136882,436,0.4144486692015209,39,0.0370722433460076,D,1052,"100,000 a 249,999",1409708221954
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,1969,4,0.00315955766192733,37,0.029225908372827805,132,0.10426540284360189,218,0.1721958925750395,345,0.2725118483412322,474,0.3744075829383886,56,0.044233807266982623,D,1266,"100,000 a 249,999",1409708221969
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,1973,4,0.0038684719535783366,22,0.02127659574468085,107,0.10348162475822051,172,0.16634429400386846,248,0.23984526112185686,451,0.43617021276595747,30,0.029013539651837523,D,1034,"100,000 a 249,999",1409708221973
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,2153,,,5,0.019011406844106463,17,0.06463878326996197,44,0.16730038022813687,66,0.2509505703422053,121,0.4600760456273764,9,0.034220532319391636,D,263,"100,000 a 249,999",1409708222153
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,2168,4,0.003316749585406302,21,0.017412935323383085,105,0.08706467661691543,234,0.19402985074626866,311,0.25787728026533996,485,0.4021558872305141,46,0.03814262023217247,D,1206,"100,000 a 249,999",1409708222168
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,2172,,,11,0.009598603839441536,62,0.05410122164048865,185,0.16143106457242584,330,0.2879581151832461,522,0.45549738219895286,34,0.029668411867364748,D,1146,"100,000 a 249,999",1409708222172
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,2219,38,0.0440324449594438,132,0.15295480880648898,191,0.2213209733487833,178,0.20625724217844726,158,0.18308227114716108,162,0.18771726535341832,4,0.004634994206257242,C,863,"100,000 a 249,999",1409708222219
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,2469,3,0.0013245033112582781,28,0.012362030905077263,145,0.0640176600441501,299,0.13200883002207506,565,0.24944812362030905,1151,0.5081677704194261,74,0.032671081677704196,D,2265,"100,000 a 249,999",1409708222469
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,251A,0,0.0,,,,,4,0.09090909090909091,9,0.20454545454545456,25,0.5681818181818182,3,0.06818181818181818,D,44,"100,000 a 249,999",140970822251A
