folio_vivienda,folio_habitante,parentesco,jefe_hogar_asignacion_artificial,jefe_hogar_fuente,edad,sexo_nacimiento,estado_civil,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,tiene_internet,weekend_mode_auto_particular,weekend_mode_camion_autobus,weekend_mode_a_pie,salio_casa_ayer,weekend_dest_visitar,weekend_dest_compras_bienes_servicios,centralidad,ageb,escolaridad,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar
11169,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11169,2,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11169,3,Jefe del hogar,Jefe del hogar,observado,39.0,Hombres,Casado,4,Propia,No quiso responder,1,Sí,Sí,Sí,No,Sí,Sí,Sí,01,1412000015139,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
11169,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11170,1,Jefe del hogar,Jefe del hogar,observado,66.0,Mujeres,Viudo,3,Propia,"$10,001 y $15,000",0,No,No,No,Sí,Sí,No,Sí,01,1412000012115,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
11170,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11170,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171,1,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171,2,Jefe del hogar,Jefe del hogar,observado,66.0,Hombres,Casado,7,Prestada,No quiso responder,1,Sí,Sí,Sí,Sí,Sí,Sí,Sí,01,1412000014338,,,0.01106471170495276,0.05608379898170258,0.11708529663437088,0.03404503183926618,0.07147535183373266,0.690024387932634,0.02022142107334092,,47.8675870392907
11171,3,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171,6,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171,7,Jefe del hogar,Jefe del hogar,observado,26.0,Mujeres,Casado,7,Prestada,No quiso responder,1,Sí,Sí,Sí,Sí,Sí,Sí,No,01,1412000014338,Normal básica,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,23.0
11172,1,Jefe del hogar,Jefe del hogar,observado,68.0,Hombres,Casado,2,Prestada,No quiso responder,1,Sí,Sí,No,No,Sí,No,No,01,1412000015143,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
11172,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11173,1,Jefe del hogar,Jefe del hogar,observado,58.0,Hombres,Casado,3,Propia,"$10,001 y $15,000",1,No,Sí,Sí,Sí,Sí,Sí,Sí,01,1412000013819,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
11173,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11173,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11174,1,Jefe del hogar,Jefe del hogar,observado,41.0,Hombres,Soltero,1,Prestada,"$1,501 y $3,000",0,No,No,Sí,Sí,Sí,No,Sí,01,1412000015177,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
11175,1,Jefe del hogar,Jefe del hogar,observado,29.0,Hombres,Unión libre,4,Rentada,"$15,001 y $25,000",0,Sí,No,Sí,Sí,Sí,Sí,No,01,141200001212A,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11175,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11175,3,Jefe del hogar,Jefe del hogar,observado,23.0,Mujeres,Casado,4,Rentada,"$15,001 y $25,000",0,Sí,No,Sí,No,Sí,Sí,No,01,141200001212A,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
11176,1,Jefe del hogar,Jefe del hogar,observado,26.0,Hombres,Casado,4,Rentada,No quiso responder,0,Sí,No,Sí,Sí,Sí,Sí,Sí,01,1412000013819,Carrera técnica con secundaria terminada,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,23.0
11176,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11176,3,Jefe del hogar,Jefe del hogar,observado,60.0,Hombres,Casado,4,Rentada,No quiso responder,0,Sí,No,Sí,Sí,Sí,Sí,No,01,1412000013819,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11177,1,Jefe del hogar,Jefe del hogar,observado,62.0,Hombres,Casado,4,Rentada,No quiso responder,0,Sí,No,Sí,Sí,Sí,No,No,01,1412000013791,,,0.030280623165620153,0.24165165661871701,0.3872584700730231,0.07864764316486492,0.16931395256111342,0.08603381711230318,0.006813837304358241,,21.664364576558597
11177,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11177,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11177,4,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11178,1,Jefe del hogar,Jefe del hogar,observado,87.0,Hombres,Viudo,3,Propia,"$7,001 y $10,000",0,No,No,No,Sí,No,No,Sí,01,1412000015177,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11178,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11178,3,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11179,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11179,2,Jefe del hogar,Jefe del hogar,observado,46.0,Hombres,Casado,4,Rentada,No quiso responder,0,Sí,No,Sí,No,Sí,Sí,No,01,1412000015143,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11179,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11180,1,Jefe del hogar,Jefe del hogar,observado,27.0,Hombres,Casado,3,Propia,"$7,001 y $10,000",1,Sí,No,Sí,Sí,Sí,Sí,Sí,01,1412000013787,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
11180,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11180,3,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181,1,Jefe del hogar,Jefe del hogar,observado,70.0,Hombres,Casado,7,Propia,"Más de $25,001",1,Sí,Sí,No,No,Sí,No,No,01,1412000015177,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
11181,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181,5,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181,6,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181,7,Jefe del hogar,Jefe del hogar,observado,27.0,Hombres,Casado,7,Propia,"Más de $25,001",1,Sí,Sí,Sí,Sí,Sí,Sí,Sí,01,1412000015177,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11182,1,Jefe del hogar,Jefe del hogar,observado,70.0,Hombres,Casado,4,Propia,No quiso responder,2,Sí,Sí,No,No,Sí,Sí,Sí,01,1412000015139,Preparatoria o bachillerato,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,27.0
11182,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11182,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11182,4,Jefe del hogar,Jefe del hogar,observado,27.0,Mujeres,Casado,4,Propia,No quiso responder,2,Sí,Sí,Sí,Sí,Sí,No,No,01,1412000015139,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11183,1,Jefe del hogar,Jefe del hogar,observado,49.0,Mujeres,Divorciado,5,Hipotecada,No quiso responder,0,No,No,Sí,Sí,Sí,Sí,Sí,01,1412000015158,,,0.01017815166642281,0.09092538733183964,0.4097475713800606,0.07466267589971141,0.2500017695229103,0.1579100664555805,0.0065743777434745755,,26.718440897377857
11183,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11183,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
