folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas,ingreso_hogar,educacion_jefe,edad_jefe,sexo_jefe,prob_workers_0,prob_workers_1,prob_workers_2,prob_workers_3,prob_workers_4_mas,prob_bathrooms_0,prob_bathrooms_1,prob_bathrooms_2_mas,prob_rooms_1,prob_rooms_2,prob_rooms_3,prob_rooms_4_mas,modelo_puntos_14_anos_trabajo_mes,modelo_puntos_banos_completos,modelo_puntos_cuartos_dormir,puntos_amai_total,nivel_socioeconomico_amai,prob_nse_micro_e,prob_nse_micro_d,prob_nse_micro_d_mas,prob_nse_micro_c_menos,prob_nse_micro_c,prob_nse_micro_c_mas,prob_nse_micro_ab,nse_micro_probability_sum,municipio_nse_ageb,localidad,ageb_nse_ageb,e_probability,d_probability,d_mas_probability,c_menos_probability,c_probability,c_mas_probability,ab_probability,nivel_socioeconomico_amai_calibrado
5558,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Vialidades insuficientes,Poca frecuencia de paso en el día,3,Rentada,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,109,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$10,001 y $15,000",59.0,40,Hombres,0.0120964195792505,0.6467575673817045,0.292646695949787,0.0473759821677104,0.0011233349215477,0.0133918099746821,0.8186815355352436,0.1679266544900743,0.1996923263921291,0.6311552429477699,0.1532162567898421,0.0159361738702587,21.021229695098057,27.54090961387934,15.883170225105845,177.44530953408324,C+,0.0,0.0,0.0,0.0018889974535342838,0.12579717730549073,0.8156284265889147,0.056685398652060195,0.9999999999999999,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,C+
5576,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Tiempos excesivos de traslado,El tiempo de duración de viaje,3,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,109,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22,"$10,001 y $15,000",11.0,65,Mujeres,0.1342499156612956,0.4885473404396213,0.2744899701694576,0.0985008705380434,0.0042119031915817,0.1144210338894048,0.6727802938124063,0.2127986722981887,0.081748957622357,0.579543503652908,0.2915466194069574,0.0471609193177776,20.625365321283994,26.148264649512623,18.432956003361245,130.20658597415786,C-,0.0,0.01920634883598607,0.1857549998727765,0.4853328801337078,0.2858476454222097,0.02381585599723155,4.226973808787303e-05,0.9999999999999996,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,C-
5583,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Vialidades insuficientes,La falta de comodidad de las unidades del transporte,1,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,109,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0,"$3,001 y $7,000",11.0,73,Mujeres,0.6703076683095696,0.3217505211006057,0.0059239982314056,0.0012554582300496,0.0007623541283699,0.2414219050592418,0.622628851541315,0.1359492433994432,0.5178815965033788,0.3124705290969249,0.1191357645170809,0.0505121098826152,5.11415644209551,21.332706876765393,13.618227102231462,83.06509042109235,D,0.0,0.7407114715748261,0.23053095935248655,0.028078292247476128,0.0006530729346220859,2.6203890589226677e-05,0.0,1.0000000000000002,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,D
5585,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Tiempos excesivos de traslado,El costo del viaje,1,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,No,109,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0,"$10,001 y $15,000",11.0,72,Mujeres,0.7573980559938233,0.2333825398432631,0.0059953023652444,0.0024167092787356,0.0008073925189338,0.1081449167268054,0.6837068686353457,0.2081482146378489,0.4161423743456124,0.3599705292879336,0.1675465725828909,0.0563405237835629,3.8470120414483304,26.1919309352272,14.912681966435231,87.95162494311076,D,0.0,0.6627159216231184,0.29493243941825764,0.040985763055385635,0.0012999088564224727,6.596704681592904e-05,0.0,1.0,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,D
5588,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Tiempos excesivos de traslado,Falta de cubiertas para espera en las paradas,4,Propia,"$15,001 y $25,000",2,0,1,En la cochera de la casa,Otro parentesco,Sí,No,109,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,"$15,001 y $25,000",59.0,49,Mujeres,0.0477611698892631,0.3179843766802401,0.4595046070519322,0.1331163189823864,0.0416335273961784,0.0124504276197073,0.561296716990228,0.4262528553900647,0.0411578502514437,0.3614301604964446,0.5231947979950715,0.0742171912570401,27.67740431317016,33.50500541109851,21.043770642061663,216.22618036633034,A/B,0.0,0.0,0.0,0.0,0.003291876998417228,0.21850668526994815,0.7782014377316349,1.0000000000000002,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,A/B
5595,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Pavimento deteriorado,Poca frecuencia de paso en el día,6,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,109,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,"$10,001 y $15,000",27.0,41,Hombres,0.0159182383789104,0.4172853395618663,0.3823555472408342,0.1167008899041314,0.067739984914258,0.1909075396221582,0.6583161340740721,0.1507763263037696,0.0678157438290502,0.4598580190645249,0.3639057226535566,0.1084205144528682,27.612682073253644,22.886074554054904,20.103448061841945,151.60220468915048,C,0.0,0.0002060860589963767,0.0455795140942003,0.2591045234888239,0.49716449945958585,0.1865166945089492,0.011428682389444403,0.9999999999999999,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,C
5605,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Tiempos excesivos de traslado,El tiempo de duración de viaje,1,Propia,"$7,001 y $10,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,Sí,109,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,"$7,001 y $10,000",27.0,61,Hombres,0.2313422389499292,0.7468348919209068,0.0141944990809266,0.0055806746828143,0.0020476953654235,0.0479601208828757,0.7057792912349657,0.2462605878821585,0.4162874635714989,0.3620638540798208,0.1670191685557785,0.0546295137929017,12.02417330302262,28.512950620100632,14.879925860560665,136.41704978368392,C-,0.0,0.004618793392387367,0.10232560851265686,0.5379861939450882,0.3382323141439896,0.016467665878840364,0.0003694241270377527,1.0,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,C-
5610,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Rentada,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,109,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22,"$10,001 y $15,000",23.0,28,Hombres,0.0070300353983142,0.6986357538452406,0.2691838641330262,0.0245566709468512,0.0005936756765677,0.0642350987520452,0.8632476098625785,0.0725172913853763,0.3974880921900827,0.5061925918396202,0.0809222486630044,0.0153970673072927,19.990057175628213,24.126255331814573,13.71382632870006,134.83013883614285,C-,0.0,0.000408079621194094,0.043010136781138214,0.713331143809012,0.22633051592281037,0.016888558310786266,3.156555505900395e-05,1.0,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,C-
5621,2023-02-23 00:00:00+00:00,Tonalá,141010009211A,41,Insuficiente transporte público,La distancia a las paradas,2,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,No,No,109,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0,"$10,001 y $15,000",18.0,26,Mujeres,0.2334130278234077,0.5124981041549062,0.2469585243179968,0.0055427742397267,0.0015875694639623,0.472591598745239,0.5017823229696394,0.0256260782851215,0.6926700150820845,0.2448143318898328,0.0508533284221296,0.0116623246059531,15.69499516851063,13.24720143067206,11.052063700415612,57.99426029959831,D,0.27678884588557984,0.7010079189942106,0.021347617670733187,0.000841457777042496,1.4159672433531055e-05,0.0,0.0,0.9999999999999997,101,9,211A,,0.017369727047146403,0.05459057071960298,0.12158808933002481,0.20099255583126552,0.3200992555831266,0.2803970223325062,D
5533,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,Congestionamiento,Falta de información de rutas,4,Propia,No sabe,0,1,0,,Hijo,Sí,No,109,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,0,,23.0,48,Mujeres,0.0331660118301495,0.2222531100811744,0.4137954759838514,0.2595547440632769,0.0712306580415482,0.1772194665616737,0.6355405170362738,0.1872400164020524,0.0873441520899149,0.4797209951713003,0.3561858889807931,0.0767489637579915,32.44604477416219,24.053253179767033,19.37871731525489,130.87801526918412,C-,0.0,0.0504885298275647,0.16821798145715938,0.4068896908326078,0.3365519292141369,0.03785186866853131,0.0,1.0,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,D
5470,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,Falta de cruces peatonales,El tiempo de duración de viaje,3,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,109,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22,"$15,001 y $25,000",11.0,79,Mujeres,0.0767788294295924,0.5028877043952648,0.3760793153460699,0.0406402365369704,0.0036139142921025,0.0503493962548216,0.6067025158476514,0.342948087897527,0.0549611008947155,0.4979933462192397,0.3837175391809637,0.063328013705081,21.291673994176033,30.679420511527407,19.64329972557128,136.61439423127473,C-,0.0,0.005012576464185573,0.09504445755640235,0.4619851093413887,0.4143990472708626,0.02348032157712904,7.848779003169098e-05,1.0,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,D+
5502,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,Vialidades insuficientes,La distancia a las paradas,3,Rentada,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,109,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,"$10,001 y $15,000",27.0,34,Hombres,0.0074342906246868,0.7226117911549101,0.2461322744160989,0.0231174703443163,0.0007041734599871,0.0499546124332745,0.8604977755001761,0.0895476120665494,0.3364961340409109,0.5613419724024978,0.0884670925798563,0.0136948009767349,19.575635591120495,24.860684379132053,14.234884483939323,139.67120445419187,C-,0.0,0.00012496696073391306,0.0348090132195541,0.5789530222061464,0.3629304778780885,0.023112331334939274,7.018840053700233e-05,0.9999999999999992,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,D+
5461,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,Tiempos excesivos de traslado,Conducción del/ de la chofer,4,Propia,No sabe,1,1,0,En la cochera de la casa,Jefe del hogar,Sí,Sí,109,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22,,23.0,26,Mujeres,0.0862589010056305,0.3350884034513727,0.470632011059626,0.0847357240767344,0.023284960406637,0.1199583461003741,0.6523328902881077,0.227708763611518,0.2107059544387201,0.4760922932039923,0.235973844912184,0.0772279074451036,24.93414428695364,26.358301256655935,17.437789642909372,145.73023518651894,C,0.0,0.007106627766942387,0.042704159118547205,0.40032683090060617,0.4020683677398361,0.14464324177167914,0.0031507727023893845,1.0000000000000004,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,C-
5516,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,Falta de señalamientos,El sobrecupo de personas en las unidades del transporte,2,Propia,"$15,001 y $25,000",1,1,0,En la cochera de la casa,Jefe del hogar,Sí,No,109,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22,"$15,001 y $25,000",27.0,38,Hombres,0.0372183044381431,0.3621773673765242,0.5817394642252647,0.014110520091703,0.0047543438683646,0.0552951618968768,0.7323774985256739,0.2123273395774491,0.2994831262456671,0.5085228452414603,0.1543058301865635,0.0376881983263092,24.40568280181965,27.556444924756285,15.44159280474812,148.40372053132407,C,0.0,0.0006163339286913079,0.025786581755091645,0.2708189847961873,0.5878139077087275,0.11414412031342447,0.0008200714978773909,0.9999999999999997,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,C-
5463,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,,,4,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,109,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22,"$15,001 y $25,000",23.0,76,Mujeres,0.1108862551147975,0.3547613178705824,0.3806970965052504,0.1364777115973529,0.0171776189120176,0.0434698980326363,0.5967801195556343,0.3597499824117295,0.0462566374024998,0.408111436799673,0.4626271385258382,0.0830047872719888,24.44883924683281,31.23097204268651,20.65904060533853,153.33885189485787,C,0.0,0.0021901514446868524,0.012698091671659247,0.3135482925291876,0.42031835801734757,0.2437979360871971,0.0074471702499223046,1.0000000000000007,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,C
5455,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,Vialidades insuficientes,El tiempo de duración de viaje,5,Propia,"$15,001 y $25,000",1,1,1,En la cochera de la casa,Jefe del hogar,Sí,No,109,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"$15,001 y $25,000",18.0,48,Hombres,0.0043032347443965,0.0910584499049584,0.3801225483872049,0.3947659052479447,0.1297498617154961,0.1372252129392604,0.6608347942869949,0.2019399927737447,0.0514388222016488,0.4055240588176703,0.4329511246519863,0.1100859943286945,39.22364895462845,25.35121472325388,20.813474328861815,157.38833800674416,C,0.0,0.00026984220377142834,0.015423254159205119,0.14402222461283945,0.5826280019760005,0.24342818889579118,0.014228488152392891,1.0000000000000007,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,C
5477,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Prestada,"Más de $25,001",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,109,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"Más de $25,001",18.0,53,Hombres,0.0196136753075719,0.1044350949356198,0.336288450665233,0.3463455314472551,0.1933172476443202,0.0429878764503593,0.6405838813135821,0.3164282422360585,0.0537816082979183,0.377392555026229,0.5115065311354361,0.0573193055404165,39.7157149475338,30.24614053662072,20.57890827134681,162.54076375550133,C,0.0,0.00036354460397083107,0.010906561592268315,0.10482912271419241,0.522713935229445,0.32639116963448844,0.03479566622563475,0.9999999999999998,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,C+
5497,2023-02-23 00:00:00+00:00,Tonalá,1410100092143,41,Vialidades insuficientes,Falta de información de rutas,2,Propia,"$15,001 y $25,000",2,0,1,En la cochera de la casa,Cónyuge,Sí,No,109,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,43,"$15,001 y $25,000",27.0,55,Hombres,0.1267119376077963,0.4303926199893901,0.4197177109494509,0.0164574205085449,0.0067203109448176,0.0218759935164085,0.6369176059757404,0.3412064005078509,0.2148730842902193,0.4916090859955537,0.2306360370538425,0.0628817926603844,20.634118650300778,31.322723367286763,17.132212304675136,171.08905432226268,C+,0.0,0.0,0.0005956173440538251,0.02616939586386047,0.42043632547402676,0.4988357794634856,0.053962881854573035,0.9999999999999997,101,9,2143,0.0,0.10787671232876712,0.14554794520547945,0.2054794520547945,0.25,0.20034246575342465,0.09075342465753425,C+
