Folio Vivienda,Folio Habitante,Fecha,Municipio,AGEB,Centralidad,¿Salió de su casa ayer?,¿Cuál es la razón por la que NO realizó algún viaje?,Viajes contados,Día de la semana que realizó los viajes:,Parentesco,Sexo de nacimiento,Género con el que se identifica:,Grupo de Edad,Edad,Estado civil,Escolaridad,Durante la semana pasada trabajó:,Ocupación:,Giro de la empresa donde trabaja:,¿Tiene alguna discapacidad?,¿Qué tipo de discapacidad?,¿Requiere acompañamiento en sus viajes?,¿Por qué razón requiere acompañamiento en sus viajes?,¿De quien recibe apoyo para realizar los viajes?,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | A PIE,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | CAMIÓN O AUTOBÚS,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | AUTOMÓVIL PARTICULAR,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | TREN LIGERO,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | MI MACRO,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | MOTOCICLETA,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi plataforma (Uber/Didi),¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 1 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 2 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 3 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Mototaxi,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte de personal,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Servicio suburbano,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte escolar,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte informal,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte escolar particular,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi colectivo,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Mi Bici,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Bicicleta,¿Cuáles son los principales destinos de los viajes en fin de semana? | Trabajar,¿Cuáles son los principales destinos de los viajes en fin de semana? | Estudiar,¿Cuáles son los principales destinos de los viajes en fin de semana? | Compras (comida),"¿Cuáles son los principales destinos de los viajes en fin de semana? | Compras (bienes, productos y servicios)",¿Cuáles son los principales destinos de los viajes en fin de semana? | Visitar a alguien,¿Cuáles son los principales destinos de los viajes en fin de semana? | Deportes o recreación,¿Cuáles son los principales destinos de los viajes en fin de semana? | Llevar o recoger a alguien,¿Cuáles son los principales destinos de los viajes en fin de semana? | Hacer un trámite,¿Cuáles son los principales destinos de los viajes en fin de semana? | Al médico o atención de salud,¿Cuáles son los principales destinos de los viajes en fin de semana? | Pagar algún servicio o al banco,¿Cuáles son los principales destinos de los viajes en fin de semana? | Guardería,¿Cuáles son los principales destinos de los viajes en fin de semana? | Regresar a Casa,¿Cuáles son los principales destinos de los viajes en fin de semana? | Religión,Ponderador
6910,1,2-Mar-23,Zapopan,1412000012948,69B,Sí,,2,Lunes,Otro parentesco,Hombres,Hombres,18-34,22,Unión libre,Normal básica,Tiempo completo,Empleado,Comercio,No,,,,,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,88
6910,2,2-Mar-23,Zapopan,1412000012948,69B,Sí,,2,Miércoles,Otro parentesco,Hombres,Hombres,18-34,24,Unión libre,Preparatoria o bachillerato,Tiempo completo,Empleado,Comercio,No,,,,,Sí,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6910,3,2-Mar-23,Zapopan,1412000012948,69B,Sí,,4,Viernes,Otro parentesco,Hombres,Hombres,18-34,26,Soltero,Normal básica,Tiempo completo,Empleado,Servicio,No,,,,,Sí,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,88
6910,4,2-Mar-23,Zapopan,1412000012948,69B,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,18-34,28,Soltero,Normal básica,Tiempo completo,Empleado,Comercio,No,,,,,Sí,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6910,5,2-Mar-23,Zapopan,1412000012948,69B,Sí,,2,Jueves,Otro parentesco,Mujeres,Mujeres,18-34,23,Unión libre,Licenciatura o profesional,Es estudiante,Estudiante,,No,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,88
6911,1,2-Mar-23,Zapopan,141200001290A,69B,Sí,,2,Miércoles,Jefe del hogar,Mujeres,Mujeres,55 y +,66,Casado,Secundaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,88
6911,2,2-Mar-23,Zapopan,141200001290A,69B,Sí,,4,Miércoles,Cónyuge,Hombres,Hombres,55 y +,61,Casado,Preparatoria o bachillerato,Tiempo completo,Empleado,Industria,No,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,Sí,No,88
6911,3,2-Mar-23,Zapopan,141200001290A,69B,Sí,,4,Miércoles,Hijo,Hombres,Hombres,18-34,28,Soltero,Preparatoria o bachillerato,Tiempo completo,Empleado,Industria,No,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
6911,4,2-Mar-23,Zapopan,141200001290A,69B,Sí,,6,Miércoles,Hijo,Hombres,Hombres,18-34,23,Soltero,Licenciatura o profesional,Tiempo completo,Empleado,Servicio,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
6912,1,2-Mar-23,Zapopan,1412000011210,69B,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,55 y +,56,Casado,Licenciatura o profesional,No trabajo,Hogar,,Sí,Física o motora,No,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6912,2,2-Mar-23,Zapopan,1412000011210,69B,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,58,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6913,1,2-Mar-23,Zapopan,1412000013984,69B,Sí,,4,Miércoles,Jefe del hogar,Mujeres,Mujeres,18-34,29,Soltero,Licenciatura o profesional,Tiempo completo,Trabajador independiente,Comercio,No,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6913,2,22-Apr-23,Zapopan,1412000013984,69B,Sí,,2,Jueves,Hijo,Mujeres,Mujeres,18-34,34,Soltero,Licenciatura o profesional,Tiempo completo,Empleado,,,,,,,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6914,1,2-Mar-23,Zapopan,1412000013984,69B,No,Por problemas temporales de salud,0,,Otro parentesco,Mujeres,Mujeres,35-54,53,Divorciado,Normal básica,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,88
6915,1,2-Mar-23,Zapopan,1412000012350,69B,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,69,Casado,Secundaria,Es jubilado o pensionado,Jubilado o pensionado,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,88
6915,2,2-Mar-23,Zapopan,1412000012350,69B,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,55 y +,64,Casado,Primaria,No trabajo,Hogar,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,88
6916,1,2-Mar-23,Zapopan,1412000011155,69B,Sí,,4,Miércoles,Jefe del hogar,Mujeres,Mujeres,18-34,33,Soltero,Maestría o doctorado,Tiempo completo,Patrón o empresario,Educación,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,No,88
6917,1,2-Mar-23,Zapopan,1412000013984,69B,No,Por problemas permanentes de salud,0,,Jefe del hogar,Mujeres,Mujeres,55 y +,85,Viudo,Primaria,Es jubilado o pensionado,Jubilado o pensionado,,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,88
6918,1,2-Mar-23,Zapopan,1412000012914,69B,Sí,,2,Miércoles,Hijo,Hombres,Hombres,18-34,33,Soltero,Licenciatura o profesional,,,,,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6918,2,2-Mar-23,Zapopan,1412000012914,69B,Sí,,6,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,70,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6918,3,2-Mar-23,Zapopan,1412000012914,69B,Sí,,2,Miércoles,Cónyuge,Mujeres,Mujeres,55 y +,60,Casado,Licenciatura o profesional,No trabajo,Hogar,,,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6919,1,2-Mar-23,Zapopan,1412000011210,69B,Sí,,3,Miércoles,Cónyuge,Mujeres,Mujeres,55 y +,65,Casado,Maestría o doctorado,No trabajo,Hogar,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6919,2,2-Mar-23,Zapopan,1412000011210,69B,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,56,Casado,Maestría o doctorado,Tiempo completo,Empleado,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sí,No,88
6919,3,2-Mar-23,Zapopan,1412000011210,69B,Sí,,4,Miércoles,Hijo,Hombres,Hombres,18-34,25,Soltero,Preparatoria o bachillerato,Es estudiante,Estudiante,,,,,,,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6919,4,2-Mar-23,Zapopan,1412000011210,69B,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,18-34,23,Soltero,Preparatoria o bachillerato,Es estudiante,Estudiante,,,,,,,Sí,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
6920,1,2-Mar-23,Zapopan,141200001290A,69B,Sí,,4,Miércoles,Jefe del hogar,Mujeres,Mujeres,55 y +,56,Viudo,Preparatoria o bachillerato,Tiempo completo,Empleado,Comercio,No,,,,,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,88
6920,2,2-Mar-23,Zapopan,141200001290A,69B,Sí,,4,Miércoles,Hijo,Hombres,Hombres,18-34,27,Casado,Secundaria,Tiempo completo,Empleado,Comercio,No,,,,,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6920,3,2-Mar-23,Zapopan,141200001290A,69B,Sí,,4,Lunes,Otro parentesco,Mujeres,Mujeres,18-34,22,Casado,Preparatoria o bachillerato,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sí,No,88
6920,4,2-Mar-23,Zapopan,141200001290A,69B,Sí,,2,Jueves,Hijo,Hombres,Hombres,12-17,16,Soltero,Secundaria,Es estudiante,Estudiante,,No,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,88
6921,1,2-Mar-23,Zapopan,1412000013984,69B,Sí,,4,Miércoles,Jefe del hogar,Mujeres,Mujeres,35-54,35,Soltero,Licenciatura o profesional,Es jubilado o pensionado,Jubilado o pensionado,,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
6921,2,2-Mar-23,Zapopan,1412000013984,69B,Sí,,4,Miércoles,Nieto,Hombres,Hombres,18-34,29,Casado,Licenciatura o profesional,Tiempo completo,Empleado,Comercio,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6921,3,2-Mar-23,Zapopan,1412000013984,69B,Sí,,4,Miércoles,Nieto,Mujeres,Mujeres,18-34,27,Casado,Licenciatura o profesional,Tiempo completo,Empleado,Gobierno/sector público,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6922,1,2-Mar-23,Zapopan,1412000011193,69B,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,18-34,30,Casado,Licenciatura o profesional,Tiempo completo,Empleado,Industria,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,88
6922,2,2-Mar-23,Zapopan,1412000011193,69B,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,18-34,30,Casado,Secundaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,Sí,No,88
6922,3,2-Mar-23,Zapopan,1412000011193,69B,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,12-17,13,Soltero,Kinder,Es estudiante,Estudiante,,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sí,No,88
6923,1,2-Mar-23,Zapopan,1412000012350,69B,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,37,Casado,Carrera técnica con secundaria terminada,Tiempo completo,Empleado,Industria,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6923,2,2-Mar-23,Zapopan,1412000012350,69B,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,35-54,36,Casado,Normal básica,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,88
6923,3,2-Mar-23,Zapopan,1412000012350,69B,Sí,,3,Jueves,Jefe del hogar,Hombres,Hombres,18-34,34,Unión libre,Preparatoria o bachillerato,Tiempo completo,Empleado,Industria,No,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,88
6924,1,2-Mar-23,Zapopan,1412000012350,69B,Sí,,3,Miércoles,Jefe del hogar,Hombres,Hombres,18-34,28,Unión libre,Preparatoria o bachillerato,Tiempo completo,Empleado,Industria,No,,,,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,88
6924,2,2-Mar-23,Zapopan,1412000012350,69B,No,Para cuidar a un enfermo,0,,Cónyuge,Mujeres,Mujeres,18-34,25,Unión libre,Secundaria,No trabajo,Hogar,,No,,,,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sí,No,88
6925,1,2-Mar-23,Zapopan,141200001116A,69B,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,41,Casado,Licenciatura o profesional,Tiempo completo,Trabajador independiente,Comercio,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,88
6925,2,2-Mar-23,Zapopan,141200001116A,69B,Sí,,6,Miércoles,Cónyuge,Mujeres,Mujeres,35-54,41,Casado,Preparatoria o bachillerato,Tiempo completo,Trabajador independiente,Comercio,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,88
6925,3,2-Mar-23,Zapopan,141200001116A,69B,Sí,,4,Miércoles,Hijo,Hombres,Hombres,12-17,13,Soltero,Primaria,Es estudiante,Estudiante,,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,88
6926,1,2-Mar-23,Zapopan,1412000011155,69B,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,38,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6926,2,2-Mar-23,Zapopan,1412000011155,69B,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,35-54,35,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,88
6926,3,2-Mar-23,Zapopan,1412000011155,69B,Sí,,4,Miércoles,Otro parentesco,Hombres,Hombres,18-34,28,Soltero,Licenciatura o profesional,Tiempo completo,Empleado,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6927,1,2-Mar-23,Zapopan,1412000012948,69B,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,59,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6928,1,2-Mar-23,Zapopan,1412000013984,69B,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,76,Viudo,Licenciatura o profesional,Es jubilado o pensionado,Jubilado o pensionado,,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
6928,2,2-Mar-23,Zapopan,1412000013984,69B,Sí,,3,Miércoles,Hijo,Hombres,Hombres,35-54,36,Casado,Licenciatura o profesional,Tiempo completo,Trabajador independiente,Comercio,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
6928,3,2-Mar-23,Zapopan,1412000013984,69B,Sí,,6,Miércoles,Hijo,Hombres,Hombres,35-54,47,Divorciado,Licenciatura o profesional,Tiempo completo,Empleado,Servicio,No,,,,,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,No,No,No,Sí,No,88
6928,4,2-Mar-23,Zapopan,1412000013984,69B,Sí,,4,Miércoles,Otro parentesco,Mujeres,Mujeres,35-54,49,Casado,Licenciatura o profesional,Tiempo completo,Empleado,Servicio,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
6929,1,2-Mar-23,Zapopan,1412000012914,69B,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,57,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,88
6929,2,2-Mar-23,Zapopan,1412000012914,69B,No,Actividades pendientes en casa,0,,Cónyuge,Mujeres,Mujeres,55 y +,55,Casado,,No trabajo,Hogar,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,88
6929,3,2-Mar-23,Zapopan,1412000012914,69B,Sí,,3,Miércoles,Hijo,Hombres,Hombres,18-34,21,Soltero,Licenciatura o profesional,Tiempo completo,Empleado,,,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,No,88
6929,4,2-Mar-23,Zapopan,1412000012914,69B,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,12-17,17,Soltero,Preparatoria o bachillerato,,Estudiante,,,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,88
6930,1,2-Mar-23,Zapopan,1412000012914,69B,No,Otros (especifique),0,,Jefe del hogar,Mujeres,Mujeres,55 y +,71,Viudo,,,,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,88
6930,2,2-Mar-23,Zapopan,1412000012914,69B,Sí,,6,Miércoles,Hijo,Mujeres,Mujeres,35-54,46,Divorciado,Licenciatura o profesional,,,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6930,3,2-Mar-23,Zapopan,1412000012914,69B,Sí,,3,Miércoles,Nieto,Hombres,Hombres,18-34,21,Soltero,Licenciatura o profesional,Es estudiante,Estudiante,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6930,4,2-Mar-23,Zapopan,1412000012914,69B,Sí,,2,Miércoles,Hijo,Hombres,Mujeres,6-11,9,Soltero,Primaria,Es estudiante,Estudiante,,,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,88
6931,1,2-Mar-23,Zapopan,1412000011210,69B,Sí,,2,Miércoles,Cónyuge,Mujeres,Mujeres,18-34,31,Casado,,Tiempo completo,Empleado,,No,,,,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6931,2,2-Mar-23,Zapopan,1412000011210,69B,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,36,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,No,,,,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,88
6932,1,2-Mar-23,Zapopan,141200001290A,69B,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,71,Casado,Licenciatura o profesional,Tiempo completo,Empleado,Industria,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,No,Sí,No,88
6932,2,2-Mar-23,Zapopan,141200001290A,69B,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,55 y +,69,Casado,Secundaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,Sí,No,88
6932,3,2-Mar-23,Zapopan,141200001290A,69B,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,18-34,31,Soltero,Preparatoria o bachillerato,Es estudiante,Estudiante,,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,88
6933,1,2-Mar-23,Zapopan,1412000015942,69B,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,44,Casado,Licenciatura o profesional,Tiempo completo,Empleado,Comercio,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
6933,2,2-Mar-23,Zapopan,1412000015942,69B,Sí,,2,Miércoles,Cónyuge,Mujeres,Mujeres,18-34,33,Casado,Licenciatura o profesional,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,88
