Folio Vivienda,Folio Habitante,Fecha,Municipio,AGEB,Centralidad,¿Salió de su casa ayer?,¿Cuál es la razón por la que NO realizó algún viaje?,Viajes contados,Día de la semana que realizó los viajes:,Parentesco,Sexo de nacimiento,Género con el que se identifica:,Grupo de Edad,Edad,Estado civil,Escolaridad,Durante la semana pasada trabajó:,Ocupación:,Giro de la empresa donde trabaja:,¿Tiene alguna discapacidad?,¿Qué tipo de discapacidad?,¿Requiere acompañamiento en sus viajes?,¿Por qué razón requiere acompañamiento en sus viajes?,¿De quien recibe apoyo para realizar los viajes?,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | A PIE,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | CAMIÓN O AUTOBÚS,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | AUTOMÓVIL PARTICULAR,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | TREN LIGERO,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | MI MACRO,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | MOTOCICLETA,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi plataforma (Uber/Didi),¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 1 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 2 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 3 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Mototaxi,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte de personal,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Servicio suburbano,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte escolar,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte informal,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte escolar particular,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi colectivo,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Mi Bici,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Bicicleta,¿Cuáles son los principales destinos de los viajes en fin de semana? | Trabajar,¿Cuáles son los principales destinos de los viajes en fin de semana? | Estudiar,¿Cuáles son los principales destinos de los viajes en fin de semana? | Compras (comida),"¿Cuáles son los principales destinos de los viajes en fin de semana? | Compras (bienes, productos y servicios)",¿Cuáles son los principales destinos de los viajes en fin de semana? | Visitar a alguien,¿Cuáles son los principales destinos de los viajes en fin de semana? | Deportes o recreación,¿Cuáles son los principales destinos de los viajes en fin de semana? | Llevar o recoger a alguien,¿Cuáles son los principales destinos de los viajes en fin de semana? | Hacer un trámite,¿Cuáles son los principales destinos de los viajes en fin de semana? | Al médico o atención de salud,¿Cuáles son los principales destinos de los viajes en fin de semana? | Pagar algún servicio o al banco,¿Cuáles son los principales destinos de los viajes en fin de semana? | Guardería,¿Cuáles son los principales destinos de los viajes en fin de semana? | Regresar a Casa,¿Cuáles son los principales destinos de los viajes en fin de semana? | Religión,Ponderador
2575,1,9-Feb-23,Tlajomulco,1409704241761,22,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,18-34,30,Casado,Carrera técnica con secundaria terminada,Tiempo completo,Empleado,Industria,No,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,38
2575,2,9-Feb-23,Tlajomulco,1409704241761,22,Sí,,2,Miércoles,Cónyuge,Mujeres,Mujeres,18-34,26,Casado,Preparatoria o bachillerato,Tiempo completo,Empleado,Comercio,No,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,38
2575,3,9-Feb-23,Tlajomulco,1409704241761,22,Sí,,4,Lunes,Jefe del hogar,Hombres,Hombres,55 y +,57,Casado,,,,,No,,,,,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,38
2576,1,9-Feb-23,Tlajomulco,1409704240975,22,Sí,,2,Miércoles,Cónyuge,Mujeres,Mujeres,35-54,41,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,No,No,No,Sí,No,38
2576,2,9-Feb-23,Tlajomulco,1409704240975,22,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,43,Casado,Licenciatura o profesional,Tiempo completo,Empleado,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,38
2576,3,9-Feb-23,Tlajomulco,1409704240975,22,Sí,,2,Miércoles,Hijo,Hombres,Hombres,18-34,18,Soltero,,Es estudiante,Estudiante,,No,,,,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,38
2576,4,9-Feb-23,Tlajomulco,1409704240975,22,Sí,,4,Jueves,Hijo,Mujeres,Mujeres,12-17,16,Soltero,Primaria,Es estudiante,Estudiante,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,38
2577,1,9-Feb-23,Tlajomulco,1409704241776,22,Sí,,4,Miércoles,Jefe del hogar,Mujeres,Mujeres,55 y +,59,Viudo,Carrera técnica con preparatoria terminada,Tiempo completo,Empleado,Gobierno/sector público,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,38
2577,2,9-Feb-23,Tlajomulco,1409704241776,22,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,18-34,24,Soltero,Preparatoria o bachillerato,Es estudiante,Estudiante,,No,,,,,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,38
2577,3,9-Feb-23,Tlajomulco,1409704241776,22,Sí,,2,Miércoles,Hijo,Mujeres,Mujeres,18-34,23,Soltero,Preparatoria o bachillerato,Tiempo completo,Empleado,Comercio,No,,,,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,Sí,No,38
2577,4,9-Feb-23,Tlajomulco,1409704241776,22,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,18-34,21,Soltero,Preparatoria o bachillerato,Tiempo completo,Empleado,Servicio,No,,,,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,Sí,No,38
2577,5,9-Feb-23,Tlajomulco,1409704241776,22,Sí,,2,Miércoles,Hijo,Mujeres,Mujeres,12-17,15,Soltero,Preparatoria o bachillerato,Es estudiante,Estudiante,,No,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,38
2578,1,9-Feb-23,Tlajomulco,140970424098A,22,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,18-34,25,Unión libre,Preparatoria o bachillerato,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,38
2578,2,9-Feb-23,Tlajomulco,140970424098A,22,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,36,Unión libre,Primaria,Tiempo completo,Empleado,Servicio,No,,,,,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,63
2579,1,9-Feb-23,Zapopan,1412000012469,22,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,51,Casado,Secundaria,Tiempo completo,Empleado,Industria,No,,,,,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,38
2579,2,9-Feb-23,Zapopan,1412000012469,22,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,35-54,49,Casado,Secundaria,Tiempo completo,Empleado,Industria,No,,,,,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,38
