Folio Vivienda,Fecha,Municipio,AGEB,Centralidad,"En su opinión, ¿Cuál es el principal problema de movilidad en sus traslados en la zona donde vive?","Y con respecto al TRANSPORTE PÚBLICO, ¿Cuál considera que es el principal problema de la zona donde vive?","Incluyéndolo, ¿cuántas personas viven permanentemente en su vivienda contando a los bebés y personas adultas mayores?",Esta casa es?,¿Ingresos mensuales de todas las personas que habitan en la vivienda y aportan gastos al hogar?,¿Cuántos ... tienen en esta vivienda? | Vehículos (autos o camionetas),¿Cuántos ... tienen en esta vivienda? | Motocicletas o motonetas,¿Cuántos ... tienen en esta vivienda? | Bicicletas,¿Dónde estacionan los vehículos?,Persona del hogar que fue el informante principal,¿En su vivienda tienen acceso a internet?,"En su hogar, ¿Estarían dispuestos a participar en este mismo tipo de estudio en el futuro?",Ponderador
12535,29-Mar-23,Zapopan,1412007580829,46F,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,4,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,Sí,59
12536,29-Mar-23,Zapopan,1412007580566,46F,,,3,Propia,No quiso responder,0,0,0,,Cónyuge,No,No,59
12537,29-Mar-23,Zapopan,141200034,46F,Insuficiente transporte público,Poca frecuencia de paso en el día,5,Hipotecada,No quiso responder,0,0,0,,Cónyuge,No,No,59
12538,29-Mar-23,Zapopan,1412007580551,46F,Insuficiente transporte público,Falta de cubiertas para espera en las paradas,3,Rentada,"$3,001 y $7,000",0,0,0,,Cónyuge,No,Sí,59
12542,29-Mar-23,Zapopan,1412007580744,46F,Congestionamiento,Falta de cubiertas para espera en las paradas,4,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,59
12544,29-Mar-23,Zapopan,141200758080A,46F,Congestionamiento,Poca frecuencia de paso en el día,5,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,Sí,59
12545,29-Mar-23,Zapopan,1412007580509,46F,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,3,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,59
12546,29-Mar-23,Zapopan,1412004307421,46F,,,2,Rentada,No quiso responder,0,1,1,,Jefe del hogar,Sí,No,59
12549,29-Mar-23,Zapopan,1412007580566,46F,,,1,Propia,No quiso responder,0,0,0,,Jefe del hogar,No,No,59
12550,29-Mar-23,Zapopan,141200034,46F,Insuficiente transporte público,Poca frecuencia de paso en el día,2,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,59
12551,29-Mar-23,Zapopan,1412007580551,46F,Pavimento deteriorado,Poca frecuencia de paso en la noche,3,Rentada,"$3,001 y $7,000",0,0,2,,Cónyuge,No,Sí,59
12555,29-Mar-23,Zapopan,1412004307421,46F,,,4,Propia,No quiso responder,0,1,0,,Otro parentesco,Sí,No,59
12558,29-Mar-23,Zapopan,1412007580829,46F,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,5,Propia,No quiso responder,0,1,1,,Otro parentesco,No,Sí,59
12561,29-Mar-23,Zapopan,1412007580829,46F,Insuficiente transporte público,La falta de comodidad de las unidades del transporte,5,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,Sí,59
12562,29-Mar-23,Zapopan,1412004307421,46F,,,2,Rentada,No quiso responder,0,1,0,,Jefe del hogar,Sí,No,59
12565,29-Mar-23,Zapopan,1412004307421,46F,,,3,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,59
12566,29-Mar-23,Zapopan,1412007580829,46F,Falta de señalamientos,Poca frecuencia de paso en el día,3,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,Sí,59
12567,29-Mar-23,Zapopan,1412004306940,46F,Insuficiente transporte público,Poca frecuencia de paso en el día,7,Propia,"$7,001 y $10,000",0,0,2,,Jefe del hogar,Sí,Sí,59
12568,29-Mar-23,Zapopan,1412000016546,61,Insuficiente transporte público,La distancia a las paradas,4,Prestada,"$10,001 y $15,000",0,1,0,,Cónyuge,No,Sí,132
12569,29-Mar-23,Zapopan,1412004307421,46F,,,2,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,59
12570,29-Mar-23,Zapopan,1412007580829,46F,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,3,Propia,No sabe,0,0,2,,Hijo,Sí,Sí,59
12574,29-Mar-23,Zapopan,1412004306940,46F,Insuficiente transporte público,Poca frecuencia de paso en el día,2,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,59
12578,29-Mar-23,Zapopan,141200758080A,46F,Vialidades insuficientes,Conducción del/ de la chofer,4,Propia,"$7,001 y $10,000",0,1,0,,Cónyuge,Sí,No,59
12580,29-Mar-23,Zapopan,1412007580829,46F,Vialidades insuficientes,Poca frecuencia de paso en la noche,3,Propia,No sabe,0,1,1,,Hijo,Sí,Sí,59
12581,29-Mar-23,Zapopan,141200758080A,46F,Congestionamiento,El sobrecupo de personas en las unidades del transporte,5,Propia,"$3,001 y $7,000",0,0,0,,Otro parentesco,Sí,No,59
12582,29-Mar-23,Zapopan,1412007580551,46F,Falta de señalamientos,Poca frecuencia de paso en la noche,2,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,Sí,59
12585,29-Mar-23,Zapopan,1412007580829,46F,Tiempos excesivos de traslado,Poca frecuencia de paso en el día,2,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,59
12586,29-Mar-23,Zapopan,1412000016546,61,Congestionamiento,La distancia a las paradas,4,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,Sí,132
12587,29-Mar-23,Zapopan,141200758080A,46F,Falta de cruces peatonales,El sobrecupo de personas en las unidades del transporte,4,Propia,"$3,001 y $7,000",0,0,0,,Cónyuge,Sí,No,59
12588,29-Mar-23,Zapopan,1412007580551,46F,Falta de ciclovías,Poca frecuencia de paso en la noche,4,Rentada,"$10,001 y $15,000",0,0,2,,Hijo,No,Sí,59
12589,29-Mar-23,Zapopan,141200758080A,46F,Congestionamiento,El sobrecupo de personas en las unidades del transporte,5,Propia,"$10,001 y $15,000",0,1,0,,Cónyuge,Sí,No,59
12598,30-Mar-23,Zapopan,1412002315618,61,Insuficiente transporte público,El tiempo de duración de viaje,2,Prestada,No quiso responder,0,0,0,,Jefe del hogar,No,Sí,132
12600,30-Mar-23,Zapopan,1412000016885,61,,,4,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,No,132
12605,30-Mar-23,Zapopan,1412000016885,61,,,3,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,No,132
12606,30-Mar-23,Zapopan,1412002312026,61,,,1,Propia,"$10,001 y $15,000",0,0,0,,Jefe del hogar,Sí,No,132
12607,30-Mar-23,Zapopan,1412000016885,61,,,6,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12610,30-Mar-23,Zapopan,1412002313838,61,Insuficiente transporte público,El tiempo de duración de viaje,4,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12613,30-Mar-23,Zapopan,1412000016885,61,,,7,Otros,No quiso responder,0,1,2,,Jefe del hogar,No,No,132
12617,30-Mar-23,Zapopan,1412000016885,61,,,2,Hipotecada,No quiso responder,0,1,0,,Cónyuge,No,No,132
12620,30-Mar-23,Zapopan,1412002315872,61,Vialidades insuficientes,El sobrecupo de personas en las unidades del transporte,3,Propia,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,No,132
12624,30-Mar-23,Zapopan,1412000016635,61,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,1,Rentada,"$7,001 y $10,000",0,0,1,,Hijo,No,Sí,132
12631,30-Mar-23,Zapopan,1412002313838,61,Insuficiente transporte público,Poca frecuencia de paso en la noche,4,Propia,"$10,001 y $15,000",0,1,1,,Cónyuge,Sí,No,132
12632,30-Mar-23,Zapopan,1412000620176,61,Calles inundadas,Poca frecuencia de paso en la noche,3,Rentada,"$7,001 y $10,000",0,0,0,,Sin parentesco,No,Sí,132
12633,30-Mar-23,Zapopan,1412002316230,61,Congestionamiento,Poca frecuencia de paso en el día,2,Rentada,No quiso responder,0,0,0,,Compañero,Sí,No,132
12636,30-Mar-23,Zapopan,1412002315872,61,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Propia,"$7,001 y $10,000",0,0,1,,Cónyuge,No,No,132
12637,30-Mar-23,Zapopan,1412002315618,61,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Propia,No quiso responder,0,0,0,,Jefe del hogar,No,Sí,132
12638,30-Mar-23,Zapopan,1412000016885,61,,,3,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,132
12640,30-Mar-23,Zapopan,1412002312026,61,,,5,Propia,No quiso responder,0,0,0,,Jefe del hogar,No,No,132
12644,30-Mar-23,Zapopan,1412000016531,61,,,6,Prestada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12647,30-Mar-23,Zapopan,1412002315618,61,Vialidades insuficientes,El costo del viaje,3,Propia,No sabe,0,0,2,,Cónyuge,Sí,Sí,132
12654,30-Mar-23,Zapopan,1412002315872,61,Congestionamiento,Poca frecuencia de paso en la noche,3,Rentada,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,No,132
12655,30-Mar-23,Zapopan,1412000016635,61,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,2,Propia,"$10,001 y $15,000",0,0,0,,Cónyuge,Sí,Sí,132
12659,30-Mar-23,Zapopan,1412000016531,61,,,2,Rentada,No quiso responder,0,0,0,,Cónyuge,No,No,132
12664,30-Mar-23,Zapopan,1412002315618,61,Insuficiente transporte público,Poca frecuencia de paso en el día,1,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12670,30-Mar-23,Zapopan,1412002313838,61,Congestionamiento,El tiempo de duración de viaje,4,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,Sí,132
12672,30-Mar-23,Zapopan,1412000016531,61,,,4,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,132
12676,30-Mar-23,Zapopan,1412002312026,61,,,4,Hipotecada,No quiso responder,0,0,2,,Cónyuge,No,No,132
12686,30-Mar-23,Zapopan,1412000016531,61,,,4,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12688,30-Mar-23,Zapopan,1412000016531,61,,,2,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12692,30-Mar-23,Zapopan,1412000620176,61,Tiempos excesivos de traslado,Poca frecuencia de paso en la noche,5,Rentada,"$15,001 y $25,000",0,0,0,,Hijo,Sí,No,132
12698,30-Mar-23,Zapopan,1412002313838,61,Congestionamiento,Conducción del/ de la chofer,3,Propia,"$10,001 y $15,000",0,0,1,,Jefe del hogar,Sí,No,132
12700,30-Mar-23,Zapopan,1412002312026,61,,,3,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12704,30-Mar-23,Zapopan,1412000016531,61,,,2,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,132
12709,30-Mar-23,Zapopan,1412007560424,61,Congestionamiento,Poca frecuencia de paso en el día,4,Propia,"$7,001 y $10,000",0,1,1,,Jefe del hogar,Sí,Sí,132
12711,30-Mar-23,Zapopan,1412000016531,61,,,2,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,132
12723,30-Mar-23,Zapopan,1412002315726,61,Congestionamiento,Poca frecuencia de paso en el día,2,Rentada,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,Sí,132
12724,30-Mar-23,Zapopan,1412007560424,61,Pavimento deteriorado,Poca frecuencia de paso en el día,7,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,132
12730,30-Mar-23,Zapopan,141200231696A,61,Falta de señalamientos,El sobrecupo de personas en las unidades del transporte,3,Propia,No sabe,0,0,0,,Jefe del hogar,Sí,No,132
12732,30-Mar-23,Zapopan,141200001689A,61,,,4,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,132
12734,30-Mar-23,Zapopan,1412000620180,61,Congestionamiento,Poca frecuencia de paso en el día,3,Otros,No quiso responder,0,0,0,,Cónyuge,No,No,132
12735,30-Mar-23,Zapopan,1412002313838,61,Vialidades insuficientes,Poca frecuencia de paso en el día,4,Propia,"$10,001 y $15,000",0,0,1,,Jefe del hogar,Sí,No,132
12737,30-Mar-23,Zapopan,1412002315872,61,Vialidades insuficientes,El sobrecupo de personas en las unidades del transporte,2,Propia,"$7,001 y $10,000",0,0,1,,Jefe del hogar,No,No,132
12740,30-Mar-23,Zapopan,141200001689A,61,Congestionamiento,El sobrecupo de personas en las unidades del transporte,4,Propia,No quiso responder,0,1,0,,Cónyuge,Sí,No,132
12742,30-Mar-23,Zapopan,1412000620180,61,Congestionamiento,Poca frecuencia de paso en el día,3,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,No,132
12743,30-Mar-23,Zapopan,141200231696A,61,Falta de señalamientos,El sobrecupo de personas en las unidades del transporte,4,Propia,No sabe,0,0,0,,Cónyuge,Sí,No,132
12745,30-Mar-23,Zapopan,1412000620176,61,Calles inundadas,Poca frecuencia de paso en la noche,1,Rentada,"$3,001 y $7,000",0,0,1,,Jefe del hogar,No,Sí,132
12747,30-Mar-23,Zapopan,141200001689A,61,,,1,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12750,30-Mar-23,Zapopan,1412000620180,61,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Hipotecada,No quiso responder,0,1,1,,Cónyuge,No,No,132
12753,30-Mar-23,Zapopan,1412002315872,61,Congestionamiento,La falta de comodidad de las unidades del transporte,2,Rentada,"$3,001 y $7,000",0,0,0,,Cónyuge,No,No,132
12756,30-Mar-23,Zapopan,141200231696A,61,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,3,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12758,30-Mar-23,Zapopan,1412000620180,61,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Rentada,No quiso responder,0,0,0,,Compañero,Sí,No,132
12760,30-Mar-23,Zapopan,1412002316989,61,Vialidades insuficientes,El tiempo de duración de viaje,2,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,No,132
12766,30-Mar-23,Zapopan,141200001689A,61,,,2,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,132
12767,30-Mar-23,Zapopan,1412000017135,61,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,4,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,Sí,132
12776,30-Mar-23,Zapopan,141200001689A,61,,,4,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12777,30-Mar-23,Zapopan,1412000620180,61,Insuficiente transporte público,Poca frecuencia de paso en el día,6,Prestada,No quiso responder,0,1,0,,Cónyuge,Sí,No,132
12779,30-Mar-23,Zapopan,1412000017135,61,Tiempos excesivos de traslado,El tiempo de duración de viaje,2,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,Sí,132
12782,30-Mar-23,Zapopan,1412002316989,61,Insuficiente transporte público,Poca frecuencia de paso en la noche,3,Prestada,"$7,001 y $10,000",0,0,1,,Jefe del hogar,Sí,Sí,132
12783,30-Mar-23,Zapopan,1412002316669,61,Congestionamiento,Poca frecuencia de paso en el día,3,Prestada,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,No,132
12784,30-Mar-23,Zapopan,1412000620176,61,Insuficiente transporte público,Poca frecuencia de paso en la noche,6,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,132
12785,30-Mar-23,Zapopan,1412002313823,61,Falta de ciclovías,El tiempo de duración de viaje,1,Propia,"$7,001 y $10,000",0,0,1,,Jefe del hogar,No,No,132
12786,30-Mar-23,Zapopan,1412000017135,61,Vialidades insuficientes,Poca frecuencia de paso en el día,2,Propia,"$10,001 y $15,000",0,0,1,,Hijo,Sí,Sí,132
12790,30-Mar-23,Zapopan,141200001689A,61,,,1,Prestada,No quiso responder,0,0,1,,Jefe del hogar,Sí,No,132
12791,30-Mar-23,Zapopan,1412000620180,61,Insuficiente transporte público,El tiempo de duración de viaje,5,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12792,30-Mar-23,Zapopan,1412007560424,61,Congestionamiento,Poca frecuencia de paso en el día,7,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,132
12799,30-Mar-23,Zapopan,1412000620176,61,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Otros,No quiso responder,0,1,1,,Cónyuge,Sí,No,132
12801,30-Mar-23,Zapopan,1412000620176,61,Tiempos excesivos de traslado,Poca frecuencia de paso en el día,6,Rentada,No quiso responder,0,0,1,,Cónyuge,Sí,No,132
12803,30-Mar-23,Zapopan,141200001689A,61,,,2,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12806,30-Mar-23,Zapopan,1412000620176,61,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,No,132
12807,30-Mar-23,Zapopan,1412002313823,61,,,2,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12809,30-Mar-23,Zapopan,1412007560424,61,Congestionamiento,Poca frecuencia de paso en el día,7,Propia,"$7,001 y $10,000",0,0,0,,Jefe del hogar,Sí,Sí,132
12812,30-Mar-23,Zapopan,1412002313823,61,,,1,Propia,No quiso responder,0,0,1,,Jefe del hogar,Sí,No,132
12813,30-Mar-23,Zapopan,1412002315726,61,Falta de cruces peatonales,El sobrecupo de personas en las unidades del transporte,2,Propia,No quiso responder,0,0,0,,Jefe del hogar,No,Sí,132
12814,30-Mar-23,Zapopan,1412002316989,61,Vialidades insuficientes,El tiempo de duración de viaje,5,Propia,"$10,001 y $15,000",0,0,1,,Jefe del hogar,Sí,Sí,132
12815,30-Mar-23,Zapopan,1412000620176,61,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Hipotecada,No quiso responder,0,0,0,,Cónyuge,No,No,132
12816,30-Mar-23,Zapopan,1412000620176,61,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,132
12819,30-Mar-23,Zapopan,1412000620176,61,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Hipotecada,No quiso responder,0,0,0,,Cónyuge,No,No,132
12820,30-Mar-23,Zapopan,1412000620176,61,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,132
12821,30-Mar-23,Zapopan,1412000620176,61,Tiempos excesivos de traslado,Poca frecuencia de paso en el día,3,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,132
12822,30-Mar-23,Zapopan,1412000620176,61,Tiempos excesivos de traslado,Poca frecuencia de paso en el día,4,Rentada,"$10,001 y $15,000",0,0,0,,Hijo,Sí,Sí,132
12823,30-Mar-23,Zapopan,1412002316989,61,Congestionamiento,Poca frecuencia de paso en la noche,1,Propia,No quiso responder,0,0,1,,Jefe del hogar,Sí,Sí,132
12825,30-Mar-23,Zapopan,1412000620176,61,Pavimento deteriorado,Falta de información de rutas,6,Rentada,"$10,001 y $15,000",0,0,0,,Jefe del hogar,No,Sí,132
12826,30-Mar-23,Zapopan,1412007530320,61,Congestionamiento,Poca frecuencia de paso en el día,5,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,132
12827,30-Mar-23,Zapopan,1412007530320,61,Congestionamiento,Poca frecuencia de paso en el día,4,Propia,"$3,001 y $7,000",0,0,3,,Cónyuge,No,Sí,132
12830,30-Mar-23,Zapopan,1412007530320,61,Congestionamiento,Poca frecuencia de paso en el día,4,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,Sí,132
12832,30-Mar-23,Zapopan,1412000620176,61,Tiempos excesivos de traslado,Falta de cubiertas para espera en las paradas,2,Rentada,"$10,001 y $15,000",0,0,0,,Cónyuge,Sí,Sí,132
12834,30-Mar-23,Zapopan,1412007530320,61,Congestionamiento,Poca frecuencia de paso en el día,4,Propia,"$1,501 y $3,000",0,0,1,,Jefe del hogar,Sí,Sí,132
12835,30-Mar-23,Zapopan,1412000620176,61,Falta de cruces peatonales,Poca frecuencia de paso en el día,4,Rentada,"$15,001 y $25,000",0,0,0,,Sin parentesco,No,No,132
12836,30-Mar-23,Zapopan,1412007530320,61,Congestionamiento,Poca frecuencia de paso en la noche,2,Rentada,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,Sí,132
12837,30-Mar-23,Zapopan,1412007530320,61,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Rentada,"$7,001 y $10,000",0,1,0,,Cónyuge,Sí,Sí,132
12840,30-Mar-23,Zapopan,1412007530320,61,Congestionamiento,Poca frecuencia de paso en el día,6,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,Sí,Sí,132
12848,31-Mar-23,Zapopan,1412002312079,15,Pavimento deteriorado,La distancia a las paradas,3,Propia,No quiso responder,0,1,0,,Cónyuge,No,No,24
12851,31-Mar-23,Zapopan,1412002315779,15,,,2,Hipotecada,No quiso responder,0,0,0,,Cónyuge,No,No,24
12852,31-Mar-23,Zapopan,1412002315779,15,,,2,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,No,24
12859,31-Mar-23,Zapopan,1412002315779,15,Congestionamiento,El sobrecupo de personas en las unidades del transporte,2,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12861,31-Mar-23,Zapopan,1412002315779,15,,,4,Hipotecada,No quiso responder,0,0,0,,Cónyuge,No,No,24
12862,31-Mar-23,Zapopan,1412002315779,15,,,3,Prestada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12865,31-Mar-23,Zapopan,1412002312079,15,Pavimento deteriorado,La distancia a las paradas,2,Rentada,No quiso responder,0,1,0,,Cónyuge,No,No,24
12870,31-Mar-23,Zapopan,1412002312079,15,Falta de ciclovías,El tiempo de duración de viaje,1,Rentada,No quiso responder,0,1,0,,Jefe del hogar,Sí,No,24
12871,31-Mar-23,Zapopan,1412002315779,15,,,3,Propia,No quiso responder,0,1,0,,Cónyuge,No,No,24
12875,31-Mar-23,Zapopan,141200231415A,15,Vialidades insuficientes,La falta de comodidad de las unidades del transporte,4,Propia,"$7,001 y $10,000",0,0,1,,Hijo,No,No,24
12876,31-Mar-23,Zapopan,1412002314145,15,,,3,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12878,31-Mar-23,Zapopan,1412002314164,15,Insuficiente transporte público,Conducción del/ de la chofer,2,Prestada,No quiso responder,0,0,0,,Jefe del hogar,No,Sí,24
12879,31-Mar-23,Zapopan,1412002314145,15,,,4,Propia,No quiso responder,0,1,1,,Jefe del hogar,Sí,No,24
12881,31-Mar-23,Zapopan,1412002312079,15,Calles inundadas,La distancia a las paradas,2,Propia,No quiso responder,0,1,0,,Jefe del hogar,No,No,24
12883,31-Mar-23,Zapopan,1412002315779,15,,,1,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12884,31-Mar-23,Zapopan,1412002314179,15,Pavimento deteriorado,Poca frecuencia de paso en el día,2,Propia,No quiso responder,0,1,1,,Jefe del hogar,Sí,Sí,24
12888,31-Mar-23,Zapopan,1412002315779,15,,,3,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,24
12890,31-Mar-23,Zapopan,141200231415A,15,Insuficiente transporte público,Poca frecuencia de paso en el día,7,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,No,24
12891,31-Mar-23,Zapopan,141200231415A,15,Pavimento deteriorado,Poca frecuencia de paso en el día,3,Propia,"$3,001 y $7,000",0,0,0,,Hijo,No,No,24
12892,31-Mar-23,Zapopan,141200231415A,15,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,2,Otros,No quiso responder,0,0,0,,Cónyuge,No,No,24
12895,31-Mar-23,Zapopan,1412002314179,15,Calles inundadas,Conducción del/ de la chofer,5,Propia,No quiso responder,0,0,2,,Cónyuge,Sí,Sí,24
12897,31-Mar-23,Zapopan,1412002314145,15,,,4,Prestada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12898,31-Mar-23,Zapopan,1412002314145,15,Congestionamiento,Poca frecuencia de paso en el día,5,Propia,No quiso responder,0,0,2,,Cónyuge,Sí,Sí,24
12899,31-Mar-23,Zapopan,141200231415A,15,Congestionamiento,Poca frecuencia de paso en la noche,5,Propia,"$7,001 y $10,000",0,0,0,,Otro parentesco,Sí,No,24
12900,31-Mar-23,Zapopan,1412002315779,15,,,2,Prestada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12901,31-Mar-23,Zapopan,1412002314145,15,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,6,Propia,"$10,001 y $15,000",0,0,2,,Hijo,Sí,Sí,24
12902,31-Mar-23,Zapopan,1412002314164,15,Insuficiente transporte público,Poca frecuencia de paso en el día,7,Propia,No quiso responder,0,0,1,,Jefe del hogar,Sí,Sí,24
12904,31-Mar-23,Zapopan,141200231415A,15,Congestionamiento,Poca frecuencia de paso en el día,4,Hipotecada,No quiso responder,0,0,0,,Cónyuge,No,No,24
12906,31-Mar-23,Zapopan,1412002314179,15,,,3,Prestada,No quiso responder,0,0,0,,Cónyuge,Sí,No,24
12908,31-Mar-23,Zapopan,1412002314145,15,Calles inundadas,Poca frecuencia de paso en la noche,3,Rentada,"$3,001 y $7,000",0,0,0,,Cónyuge,No,Sí,24
12910,31-Mar-23,Zapopan,1412002314145,15,,,2,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12911,31-Mar-23,Zapopan,141200231415A,15,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12912,31-Mar-23,Zapopan,1412002315779,15,,,2,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,24
12913,31-Mar-23,Zapopan,1412002315779,15,,,2,Otros,No quiso responder,0,1,0,,Jefe del hogar,No,No,24
12916,31-Mar-23,Zapopan,141200231415A,15,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Rentada,No quiso responder,0,0,0,,Cónyuge,Sí,No,24
12917,31-Mar-23,Zapopan,1412002315779,15,,,4,Rentada,No quiso responder,0,1,0,,Hijo,Sí,No,24
12918,31-Mar-23,Zapopan,1412002314145,15,Pavimento deteriorado,La distancia a las paradas,4,Rentada,"$7,001 y $10,000",0,0,0,,Cónyuge,No,Sí,24
12920,31-Mar-23,Zapopan,1412002315779,15,,,1,Rentada,No quiso responder,0,1,0,,Jefe del hogar,Sí,No,24
12922,31-Mar-23,Zapopan,1412002312079,15,Calles inundadas,La distancia a las paradas,1,Propia,No quiso responder,0,0,0,,Jefe del hogar,No,No,24
12923,31-Mar-23,Zapopan,1412002314145,15,Pavimento deteriorado,Poca frecuencia de paso en el día,3,Propia,"$10,001 y $15,000",0,0,1,,Jefe del hogar,No,No,24
12924,31-Mar-23,Zapopan,1412002315779,15,,,3,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12925,31-Mar-23,Zapopan,141200231415A,15,Congestionamiento,El sobrecupo de personas en las unidades del transporte,5,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,24
12926,31-Mar-23,Zapopan,1412002314179,15,Congestionamiento,El sobrecupo de personas en las unidades del transporte,2,Rentada,No quiso responder,0,0,0,,Hijo,Sí,No,24
12928,31-Mar-23,Zapopan,1412002314145,15,Tiempos excesivos de traslado,La falta de comodidad de las unidades del transporte,6,Rentada,"$15,001 y $25,000",0,0,3,,Hijo,Sí,Sí,24
