Folio Vivienda,Fecha,Municipio,AGEB,Centralidad,"En su opinión, ¿Cuál es el principal problema de movilidad en sus traslados en la zona donde vive?","Y con respecto al TRANSPORTE PÚBLICO, ¿Cuál considera que es el principal problema de la zona donde vive?","Incluyéndolo, ¿cuántas personas viven permanentemente en su vivienda contando a los bebés y personas adultas mayores?",Esta casa es?,¿Ingresos mensuales de todas las personas que habitan en la vivienda y aportan gastos al hogar?,¿Cuántos ... tienen en esta vivienda? | Vehículos (autos o camionetas),¿Cuántos ... tienen en esta vivienda? | Motocicletas o motonetas,¿Cuántos ... tienen en esta vivienda? | Bicicletas,¿Dónde estacionan los vehículos?,Persona del hogar que fue el informante principal,¿En su vivienda tienen acceso a internet?,"En su hogar, ¿Estarían dispuestos a participar en este mismo tipo de estudio en el futuro?",Ponderador
17899,29-Apr-23,Tlajomulco,140970123,51F,,,3,Rentada,No quiso responder,0,1,0,,Cónyuge,Sí,No,10
17900,29-Apr-23,Tlajomulco,1409700150956,51F,Pavimento deteriorado,Poca frecuencia de paso en el día,1,Prestada,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,Sí,10
17902,29-Apr-23,Tlajomulco,140970123,51F,,,2,Prestada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,10
17903,29-Apr-23,Tlajomulco,1409700150956,51F,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Propia,No quiso responder,0,1,0,,Jefe del hogar,No,Sí,10
17904,29-Apr-23,Tlajomulco,140970005034A,59,Insuficiente transporte público,Poca frecuencia de paso en el día,3,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,Sí,19
17906,29-Apr-23,Tlajomulco,1409700150956,51F,Pavimento deteriorado,Poca frecuencia de paso en el día,3,Rentada,No sabe,0,1,1,,Cónyuge,Sí,Sí,10
17907,29-Apr-23,Tlajomulco,140970123,51F,,,2,Hipotecada,No quiso responder,0,1,0,,Jefe del hogar,No,No,10
17909,29-Apr-23,Tlajomulco,140970123,51F,,,2,Hipotecada,No quiso responder,0,0,0,,Jefe del hogar,No,No,10
17910,29-Apr-23,Tlajomulco,140970123,51F,,,2,Rentada,No quiso responder,0,1,0,,Jefe del hogar,Sí,No,10
17911,29-Apr-23,Tlajomulco,140970005034A,59,Insuficiente transporte público,Poca frecuencia de paso en el día,5,Propia,"$7,001 y $10,000",0,1,0,"En la calle, afuera de la casa",Cónyuge,Sí,Sí,19
